Reason_of_failure,Components_Failed,Time_Interval,Failure_Rate,Mean_Time_Between_Failures
reason1,comp2,4.0,0.0266,0.8941176470588236
reason2,comp3,8.0,0.0178,0.628099173553719
reason3,comp4,12.0,0.031,0.4269662921348314
reason7,comp5,16.0,0.0199,0.3601895734597156
reason4,comp6,20.0,0.023,0.3089430894308943
reason2,comp8,28.0,0.0268,0.2459546925566343
reason2,comp10,36.0,0.0437,0.2059620596205962
reason4,comp1,40.0,0.0357,0.1895261845386533
reason4,comp16,60.0,0.1562,0.1399631675874769










