Reason_of_failure
Early failure
Over heated
Excessive humidity
Manufacturing defects
Fuse blowing
Over heat
Harsh operating temperature conditions
Manufacturing defects
Fuse blowing
Corrosion
Potting issues
Over heat
Excessive forward current
Large reverse voltage
Open biased resistance
Ferroresonance
Harsh operating temperature conditions
Electrical overstress
Over heated
Excessive humidity
Manufacturing defects
Corrosion
Over heat
Large reverse voltage
Bad magnet wire insulation

























